Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Banco GNB Sudameris SA;GNBSUD;7.051;3/04/2027;REGS;B+;CALLABLE;USD;11.27045861;0.130717904;0.130196575;3/10/2023;3.93155373;Normal;VARIABLE
Banco GNB Sudameris SA;GNBSUD;7.051;3/04/2027;144A;B+;CALLABLE;USD;11.56365924;0.130431011;0.12969905;3/10/2023;3.93155373;Normal;VARIABLE
SURA Asset Management SA;SUAMSA;4.375;11/04/2027;REGS;BBB;AT MATURITY;USD;6.424968368;0.147958648;0.147889745;11/10/2023;3.953456537;Normal;FIXED
SURA Asset Management SA;SUAMSA;4.375;11/04/2027;144A;BBB;AT MATURITY;USD;6.41888733;0.148040366;0.147900518;11/10/2023;3.953456537;Normal;FIXED
Empresa de Energia del Pacifico SA ESP;EPSACB;17.828264;20/04/2027;C7;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;21/07/2023;3.978097194;Normal;FLOATING
Banco Davivienda SA;DAVIVI;18.508304;25/04/2027;C180;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;25/07/2023;3.991786448;Normal;FLOATING
Colombia Government International Bond;COLOM;3.875;25/04/2027;#N/A Field Not Applicable;BB+;CALLABLE;USD;6.849121407;0.151998549;0.151611667;25/10/2023;3.991786448;Long First;FIXED
Cementos Argos SA;CEMCAR;18.34625;16/05/2027;C15;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;16/05/2023;4.049281314;Normal;FLOATING
Gran Tierra Energy Inc;GTE;7.75;23/05/2027;REGS;B;CALLABLE;USD;15.9238675;0.1234616;0.123187995;23/05/2023;4.06844627;Normal;FIXED
Gran Tierra Energy Inc;GTE;7.75;23/05/2027;144a;B;CALLABLE;USD;15.9246831;0.123550566;0.123186504;23/05/2023;4.06844627;Normal;FIXED
Isagen SA ESP;ISAGEN;6.98;6/06/2027;A;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;6/06/2023;4.106776181;Normal;FIXED
Banco Davivienda SA;DAVIVI;17.120192;7/06/2027;C120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;7/06/2023;4.109514031;Normal;FLOATING
Grupo Energia Bogota SA ESP;GEBCB;16.950272;25/06/2027;C7;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;26/06/2023;4.158795346;Normal;FLOATING
Colombia Government International Bond;COLOM;9.85;28/06/2027;#N/A Field Not Applicable;BB+;AT MATURITY;COP;12.11975193;0.128760095;0.127945635;28/06/2023;4.167008898;Normal;FIXED
Oleoducto Central SA;OCENSA;4;14/07/2027;REGS;BB+;CALLABLE;USD;7.332332188;0.163892501;0.163249274;14/07/2023;4.210814511;Normal;FIXED
Oleoducto Central SA;OCENSA;4;14/07/2027;144A;BB+;CALLABLE;USD;7.275195237;0.163601563;0.163366101;14/07/2023;4.210814511;Normal;FIXED
Interconexion Electrica SA ESP;ISACB;17.295566;25/07/2027;C9;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;25/07/2023;4.240930869;Normal;FLOATING
Banco de Bogota SA;BANBOG;4.375;3/08/2027;REGS;BB+;CALLABLE;USD;6.928261731;0.16686863;0.166552604;3/08/2023;4.265571526;Normal;FIXED
Banco de Bogota SA;BANBOG;4.375;3/08/2027;144A;BB+;CALLABLE;USD;6.926219376;0.16673699;0.166556927;3/08/2023;4.265571526;Normal;FIXED
